               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077793,            0.047954,            0.019741,             0.72806,             0.42294,             0.43142,             0.18125,            0.050179,            0.035888,            0.012053,             0.07001,           0.0033322,           0.0033322
                   1,            0.060949,             0.04222,             0.01233,             0.51997,             0.47949,             0.52135,             0.24616,            0.046519,            0.034274,            0.010012,             0.03957,           0.0062256,           0.0062256
                   2,             0.05763,            0.040976,            0.011024,             0.66501,             0.63542,             0.65489,             0.33657,            0.044477,            0.033661,           0.0082387,           0.0086903,            0.008679,            0.008679
                   3,            0.054334,            0.040983,           0.0096022,             0.73337,             0.65507,             0.71601,             0.39966,            0.042279,            0.032919,           0.0071129,             0.00802,             0.00802,             0.00802
                   4,            0.051582,            0.039764,           0.0084134,             0.77163,             0.67508,             0.74261,             0.42615,            0.041226,            0.032325,           0.0062372,             0.00802,             0.00802,             0.00802
                   5,            0.049982,            0.039393,           0.0078095,             0.77963,             0.70128,             0.76419,             0.44908,            0.040245,            0.031954,           0.0057427,             0.00736,             0.00736,             0.00736
                   6,            0.049468,            0.038679,           0.0071967,             0.79294,             0.70758,             0.76849,             0.45761,            0.039787,            0.031807,           0.0055211,              0.0067,              0.0067,              0.0067
                   7,             0.04823,            0.038358,           0.0067314,             0.80065,             0.72204,             0.78867,             0.47741,            0.039608,            0.031678,           0.0051063,             0.00604,             0.00604,             0.00604
                   8,            0.047652,            0.038353,           0.0065938,             0.81327,              0.7293,             0.80504,              0.4897,            0.039031,            0.031372,           0.0048836,             0.00538,             0.00538,             0.00538
                   9,             0.04674,            0.037833,           0.0062326,             0.81728,             0.73642,             0.81039,              0.4963,            0.038734,            0.031358,           0.0044693,             0.00472,             0.00472,             0.00472
                  10,             0.04556,            0.037701,           0.0057839,             0.82193,             0.74241,             0.82756,             0.51296,            0.038162,            0.031089,           0.0043676,             0.00406,             0.00406,             0.00406
                  11,            0.046005,            0.037858,           0.0055744,             0.83435,             0.74828,             0.82871,              0.5192,            0.037808,             0.03085,           0.0041768,              0.0034,              0.0034,              0.0034
                  12,            0.044704,            0.037257,            0.005379,              0.8337,             0.75149,              0.8352,             0.52366,            0.037614,            0.030762,            0.004032,             0.00274,             0.00274,             0.00274
                  13,            0.044276,            0.037488,           0.0052164,             0.83893,             0.76391,             0.84571,             0.53448,            0.037237,            0.030657,           0.0037885,             0.00208,             0.00208,             0.00208
                  14,            0.043849,            0.037245,           0.0049989,             0.83982,             0.76984,             0.84946,             0.53715,            0.036963,             0.03051,           0.0036174,             0.00142,             0.00142,             0.00142
